msa,state,division,msa_name
40,48,7,"Abilene, TX"
80,39,3,"Akron, OH"
120,13,5,"Albany, GA"
160,36,2,"Albany-Schenectady-Troy, NY"
200,35,8,"Albuquerque, NM"
220,22,7,"Alexandria, LA"
240,42,2,"Allentown-Bethlehem-Easton, PA/NJ"
280,42,2,"Altoona, PA"
320,48,7,"Amarillo, TX"
440,26,3,"Ann Arbor, MI"
450,1,6,"Anniston, AL"
460,55,3,"Appleton-Oshkosh-Neenah, WI"
500,13,5,"Athens, GA"
520,13,5,"Atlanta, GA"
560,34,2,"Atlantic City, NJ"
600,13,5,"Augusta-Aiken, GA/SC"
640,48,7,"Austin, TX"
680,6,9,"Bakersfield, CA"
720,24,5,"Baltimore, MD"
760,22,7,"Baton Rouge, LA"
840,48,7,"Beaumont-Port Arthur-Orange, TX"
860,53,9,"Bellingham, WA"
870,26,3,"Benton Harbor, MI"
880,30,8,"Billings, MT"
920,28,6,"Biloxi-Gulfport, MS"
960,36,2,"Binghamton, NY"
1000,1,6,"Birmingham, AL"
1040,17,3,"Bloomington-Normal, IL"
1080,16,8,"Boise City, ID"
1123,25,1,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA"
1150,53,9,"Bremerton, WA"
1240,48,7,"Brownsville-Harlingen-San Benito, TX"
1280,36,2,"Buffalo-Niagara Falls, NY"
1320,39,3,"Canton, OH"
1360,19,4,"Cedar Rapids, IA"
1400,17,3,"Champaign-Urbana-Rantoul, IL"
1440,45,5,"Charleston-N. Charleston, SC"
1520,37,5,"Charlotte-Gastonia-Rock Hill, NC/SC"
1540,51,5,"Charlottesville, VA"
1560,13,5,"Chattanooga, TN/GA"
1600,17,3,"Chicago, IL"
1620,6,9,"Chico, CA"
1640,18,3,"Cincinnati-Hamilton, OH/KY/IN"
1680,39,3,"Cleveland, OH"
1720,8,8,"Colorado Springs, CO"
1740,29,4,"Columbia, MO"
1760,45,5,"Columbia, SC"
1800,1,6,"Columbus, GA/AL"
1840,39,3,"Columbus, OH"
1880,48,7,"Corpus Christi, TX"
1920,48,7,"Dallas-Fort Worth, TX"
1950,51,5,"Danville, VA"
1960,17,3,"Davenport, IA - Rock Island-Moline, IL"
2000,39,3,"Dayton-Springfield, OH"
2020,12,5,"Daytona Beach, FL"
2040,17,3,"Decatur, IL"
2080,8,8,"Denver-Boulder, CO"
2120,19,4,"Des Moines, IA"
2160,26,3,"Detroit, MI"
2240,27,4,"Duluth-Superior, MN/WI"
2290,55,3,"Eau Claire, WI"
2320,48,7,"Elkhart-Goshen, IN"
2360,42,2,"Erie, PA"
2400,41,9,"Eugene-Springfield, OR"
2440,18,3,"Evansville, IN/KY"
2560,37,5,"Fayetteville, NC"
2580,5,7,"Fayetteville-Springdale, AR"
2640,26,3,"Flint, MI"
2670,8,8,"Fort Collins-Loveland, CO"
2680,12,5,"Fort Lauderdale-Hollywood-Pompano Beach, FL"
2700,12,5,"Fort Myers-Cape Coral, FL"
2750,12,5,"Fort Walton Beach, FL"
2760,18,3,"Fort Wayne, IN"
2840,6,9,"Fresno, CA"
2880,1,6,"Gadsden, AL"
2900,12,5,"Gainesville, FL"
2920,48,7,"Galveston-Texas City, TX"
3000,26,3,"Grand Rapids, MI"
3060,8,8,"Greeley, CO"
3080,55,3,"Green Bay, WI"
3120,37,5,"Greensboro-Winston Salem-High Point, NC"
3160,45,5,"Greenville-Spartenburg-Anderson, SC"
3180,24,5,"Hagerstown, MD"
3200,39,3,"Hamilton-Middleton, OH"
3240,42,2,"Harrisburg-Lebanon--Carlisle, PA"
3290,37,5,"Hickory-Morganton, NC"
3360,48,7,"Houston-Brazoria, TX"
3440,1,6,"Huntsville, AL"
3480,18,3,"Indianapolis, IN"
3520,26,3,"Jackson, MI"
3560,28,6,"Jackson, MS"
3600,12,5,"Jacksonville, NC"
3620,55,3,"Janesville-Beloit, WI"
3660,47,6,"Johnson City-Kingsport--Bristol, TN/VA"
3680,42,2,"Johnstown, PA"
3710,29,4,"Joplin, MO"
3720,26,3,"Kalamazoo-Portage, MI"
3740,17,3,"Kankakee, IL"
3760,20,4,"Kansas City, MO/KS"
3800,55,3,"Kenosha, WI"
3810,48,7,"Kileen-Temple, TX"
3840,47,6,"Knoxville, TN"
3850,18,3,"Kokomo, IN"
3880,22,7,"Lafayette, LA"
3920,18,3,"Lafayette-W. Lafayette, IN"
3960,22,7,"Lake Charles, LA"
3980,12,5,"Lakeland-Winterhaven, FL"
4000,42,2,"Lancaster, PA"
4040,26,3,"Lansing-E. Lansing, MI"
4120,4,8,"Las Vegas, NV"
4280,21,6,"Lexington-Fayette, KY"
4320,39,3,"Lima, OH"
4360,31,4,"Lincoln, NE"
4400,5,7,"Little Rock-N. Little Rock, AR"
4420,48,7,"Longview-Marshall, TX"
4480,6,9,"Los Angeles-Long Beach, CA"
4520,18,3,"Louisville, KY/IN"
4600,48,7,"Lubbock, TX"
4640,51,5,"Lynchburg, VA"
4680,13,5,"Macon-Warner Robins, GA"
4720,55,3,"Madison, WI"
4800,39,3,"Mansfield, OH"
4880,48,7,"McAllen-Edinburg-Pharr-Mission, TX"
4890,41,9,"Medford, OR"
4900,12,5,"Melbourne-Titusville-Cocoa-Palm Bay, FL"
4920,5,7,"Memphis, TN/AR/MS"
5080,55,3,"Milwaukee, WI"
5120,27,4,"Minneapolis-St. Paul, MN"
5160,1,6,"Mobile, AL"
5170,6,9,"Modesto, CA"
5200,22,7,"Monroe, LA"
5240,1,6,"Montgomery, AL"
5280,18,3,"Muncie, IN"
5360,47,6,"Nashville, TN"
5560,22,7,"New Orleans, LA"
5600,36,2,"New York, NY-Northeastern NJ"
5660,36,2,"Newburgh-Middletown, NY"
5720,37,5,"Norfolk-VA Beach--Newport News, VA"
5790,12,5,"Ocala, FL"
5800,48,7,"Odessa, TX"
5880,40,7,"Oklahoma City, OK"
5910,53,9,"Olympia, WA"
5920,19,4,"Omaha, NE/IA"
5960,12,5,"Orlando, FL"
6080,12,5,"Pensacola, FL"
6120,17,3,"Peoria, IL"
6160,34,2,"Philadelphia, PA/NJ"
6200,4,8,"Phoenix, AZ"
6280,42,2,"Pittsburgh, PA"
6440,41,9,"Portland, OR/WA"
6520,49,8,"Provo-Orem, UT"
6560,8,8,"Pueblo, CO"
6600,55,3,"Racine, WI"
6640,37,5,"Raleigh-Durham, NC"
6680,42,2,"Reading, PA"
6690,6,9,"Redding, CA"
6720,32,8,"Reno, NV"
6740,53,9,"Richland-Kennewick-Pasco, WA"
6760,51,5,"Richmond-Petersburg, VA"
6780,6,9,"Riverside-San Bernardino, CA"
6800,51,5,"Roanoke, VA"
6840,36,2,"Rochester, NY"
6880,17,3,"Rockford, IL"
6920,6,9,"Sacramento, CA"
6960,26,3,"Saginaw-Bay City-Midland, MI"
6980,27,4,"St. Cloud, MN"
7000,29,4,"St. Joseph, MO"
7040,17,3,"St. Louis, MO/IL"
7080,41,9,"Salem, OR"
7120,6,9,"Salinas-Sea Side-Monterey, CA"
7160,49,8,"Salt Lake City-Ogden, UT"
7240,48,7,"San Antonio, TX"
7320,6,9,"San Diego, CA"
7360,6,9,"San Francisco-Oakland-Vallejo, CA"
7400,6,9,"San Jose, CA"
7480,6,9,"Santa Cruz, CA"
7500,6,9,"Santa Rosa-Petaluma, CA"
7510,12,5,"Sarasota, FL"
7520,13,5,"Savannah, GA"
7560,42,2,"Scranton-Wilkes-Barre, PA"
7600,53,9,"Seattle-Everett, WA"
7610,42,2,"Sharon, PA"
7620,55,3,"Sheboygan, WI"
7680,22,7,"Shreveport, LA"
7720,19,4,"Sioux City, IA/NE"
7760,46,4,"Sioux Falls, SD"
7800,18,3,"South Bend-Mishawaka, IN"
7840,53,9,"Spokane, WA"
7880,17,3,"Springfield, IL"
7920,29,4,"Springfield, MO"
8050,42,2,"State College, PA"
8120,6,9,"Stockton, CA"
8160,36,2,"Syracuse, NY"
8200,53,9,"Tacoma, WA"
8240,12,5,"Tallahassee, FL"
8280,12,5,"Tampa-St. Petersburg-Clearwater, FL"
8320,18,3,"Terre Haute, IN"
8400,39,3,"Toledo, OH/MI"
8440,20,4,"Topeka, KS"
8480,34,2,"Trenton, NJ"
8520,4,8,"Tucson, AZ"
8560,40,7,"Tulsa, OK"
8600,1,6,"Tuscaloosa, AL"
8640,48,7,"Tyler, TX"
8680,36,2,"Utica-Rome, NY"
8760,34,2,"Vineland-Milville-Bridgetown, NJ"
8780,6,9,"Visalia-Tulare-Porterville, CA"
8800,48,7,"Waco, TX"
8840,11,5,"Washington, DC/MD/VA"
8920,19,4,"Waterloo-Cedar Falls, IA"
8940,55,3,"Wausau, WI"
8960,12,5,"West Palm Beach-Boca Raton-Delray Beach, FL"
9040,20,4,"Wichita, KS"
9080,48,7,"Wichita Falls, TX"
9140,42,2,"Williamsport, PA"
9160,10,5,"Wilmington, DE/NJ/MD"
9200,37,5,"Wilmington, NC"
9260,53,9,"Yakima, WA"
9280,42,2,"York, PA"
9320,39,3,"Youngstown-Warren, OH/PA"
